filing_uuid,lobbyist_name,registrant,client,covered_position
https://lda.gov/api/v1/filings/affd45ff-7683-4fcc-8aab-62faaa8e08b6/,SAMUEL WHITEHORN,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"Deputy SD/GC, US Senate Commerce Committee; Acting SD, US Senate Commerce Committee; Sr. Counsel, US Senate Commerce Committee."
https://lda.gov/api/v1/filings/affd45ff-7683-4fcc-8aab-62faaa8e08b6/,BRET MANLEY,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"Chief of Staff, Rep. Rodney Davis 19-22; Chief of Staff, Rep. Jeff Denham 17-18; Legislative Director, Rep. Jeff Denham 11-17; Financial Services Policy Advisor, Rep. Gary Miller 08-10; Legislative Correspondent, Rep. Gary Miller 07-08."
https://lda.gov/api/v1/filings/affd45ff-7683-4fcc-8aab-62faaa8e08b6/,DAVID MARTEN,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"Legislative Director, Sen. Maria Cantwell; Legislative Assistant, Sen. Maria Cantwell; Legislative Assistant, Rep. Denny Heck; Legislative Correspondent, Rep. Denny Heck."
https://lda.gov/api/v1/filings/f27c7a79-8966-4e0f-9336-5f4a6602a669/,STEVE STOMBRES,"HARBINGER STRATEGIES, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/f27c7a79-8966-4e0f-9336-5f4a6602a669/,JONATHAN SLEMROD,"HARBINGER STRATEGIES, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/f27c7a79-8966-4e0f-9336-5f4a6602a669/,MANNY ROSSMAN,"HARBINGER STRATEGIES, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/f27c7a79-8966-4e0f-9336-5f4a6602a669/,KYLE NEVINS,"HARBINGER STRATEGIES, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/f27c7a79-8966-4e0f-9336-5f4a6602a669/,JOHN LEGANSKI,"HARBINGER STRATEGIES, LLC",MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/f7d98f35-fb5d-41e4-b56d-f30b89bf4841/,WILLIAM HOLLIER,HOLLIER & ASSOCIATES,MICROSOFT,"Chief of Staff, Senator Crapo"
https://lda.gov/api/v1/filings/62bbfd9c-2498-4545-9f0f-f5bfc06732f5/,BRITTAN SPECHT,MICHAEL BEST STRATEGIES LLC,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/62bbfd9c-2498-4545-9f0f-f5bfc06732f5/,PRESTON HILL,MICHAEL BEST STRATEGIES LLC,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/62bbfd9c-2498-4545-9f0f-f5bfc06732f5/,JASON YAWORSKE,MICHAEL BEST STRATEGIES LLC,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/62bbfd9c-2498-4545-9f0f-f5bfc06732f5/,ALEXANDER ANGELSON,MICHAEL BEST STRATEGIES LLC,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/764c6eb7-7a39-4f4c-ab48-d78b83bea5ed/,ALLYSON KNOX,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/764c6eb7-7a39-4f4c-ab48-d78b83bea5ed/,FRANK CAVALIERE,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/764c6eb7-7a39-4f4c-ab48-d78b83bea5ed/,PAULA BOYD,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/764c6eb7-7a39-4f4c-ab48-d78b83bea5ed/,FRED HUMPHRIES,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/764c6eb7-7a39-4f4c-ab48-d78b83bea5ed/,PAUL CARON,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/764c6eb7-7a39-4f4c-ab48-d78b83bea5ed/,JAMES FARRELL,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/764c6eb7-7a39-4f4c-ab48-d78b83bea5ed/,DANYELLE SOLOMON,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/764c6eb7-7a39-4f4c-ab48-d78b83bea5ed/,ANAIS CARMONA,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/764c6eb7-7a39-4f4c-ab48-d78b83bea5ed/,JONATHAN SCHWANTES,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
